energy,danceability,valence,liveness,instrumentalness,acousticness,speechiness,On_chart,Cluster
0.721,0.813,0.8759999999999999,0.0483,0.903,0.000116,0.0628,0,1
0.599,0.8,0.73,0.0834,0.872,7.2e-05,0.0554,0,1
0.7509999999999999,0.767,0.0819999999999999,0.144,5e-06,0.895,0.136,0,2
0.6459999999999999,0.0,0.0,0.463,0.0,0.0698,0.0,0,7
0.379,0.8490000000000001,0.693,0.0811,0.82,0.000663,0.109,0,1
0.3720000000000001,0.763,0.39,0.111,1.35e-06,0.6970000000000001,0.175,0,2
0.8809999999999999,0.8109999999999999,0.537,0.0739,0.945,0.000144,0.0915,0,1
0.488,0.815,0.478,0.0841,0.929,4.85e-06,0.0596,0,8
0.602,0.376,0.075,0.0332,0.0,0.7879999999999999,0.0365,0,2
0.76,0.769,0.674,0.155,0.8540000000000001,0.031,0.0775,0,1
0.415,0.938,0.942,0.122,0.0,0.0178,0.21,0,5
0.5660000000000001,0.8079999999999999,0.777,0.0567,0.889,0.000366,0.0692,0,1
0.507,0.59,0.16,0.141,9.73e-06,0.0487,0.122,0,9
0.8959999999999999,0.812,0.2,0.0611,0.957,2.52e-05,0.0535,0,8
0.612,0.738,0.511,0.287,0.0,0.0129,0.0457,0,7
0.317,0.8109999999999999,0.799,0.104,0.913,0.414,0.0884,0,1
0.507,0.623,0.214,0.094,0.00381,0.32,0.0279,0,9
0.215,0.75,0.958,0.289,0.0,0.807,0.846,0,0
0.682,0.313,0.356,0.88,0.00447,0.865,0.352,0,3
0.0918,0.7829999999999999,0.772,0.0924,0.0,0.919,0.878,0,0
0.921,0.764,0.96,0.042,0.909,0.000439,0.0787,0,1
0.3720000000000001,0.858,0.659,0.0488,0.494,0.000608,0.179,0,1
0.508,0.812,0.6779999999999999,0.12,0.918,0.00022,0.0827,0,1
0.664,0.816,0.787,0.0853,0.944,1.14e-05,0.0591,0,1
0.679,0.774,0.685,0.077,0.8740000000000001,3.12e-05,0.0571,0,1
0.7390000000000001,0.807,0.625,0.116,0.924,0.000344,0.0534,0,1
0.00204,0.1669999999999999,0.0314,0.0753,0.938,0.991,0.042,0,4
0.00475,0.151,0.0491,0.0898,0.956,0.995,0.0416,0,4
0.00105,0.422,0.056,0.0677,0.925,0.99,0.0604,0,4
0.0652,0.182,0.0325,0.107,0.894,0.988,0.0405,0,4
0.006,0.181,0.0346,0.0662,0.8240000000000001,0.992,0.0409,0,4
0.00195,0.34,0.0353,0.0643,0.915,0.995,0.067,0,4
0.00999,0.371,0.108,0.0498,0.925,0.994,0.0506,0,4
0.0275,0.218,0.0336,0.12,0.929,0.993,0.0443,0,4
0.0339,0.206,0.0347,0.108,0.877,0.994,0.0388,0,4
0.8320000000000001,0.8029999999999999,0.487,0.219,0.922,0.139,0.0389,0,1
0.0362,0.258,0.0317,0.0979,0.906,0.993,0.0374,0,4
0.00539,0.272,0.0872,0.085,0.95,0.994,0.0591,0,4
0.0809,0.211,0.0718,0.0834,0.867,0.995,0.0408,0,4
0.0398,0.322,0.126,0.0654,0.934,0.996,0.0372,0,4
0.0365,0.192,0.089,0.102,0.908,0.994,0.0368,0,4
0.0839,0.509,0.337,0.119,0.94,0.995,0.0476,0,4
0.6459999999999999,0.804,0.821,0.153,0.957,0.000832,0.0619,0,1
0.908,0.81,0.517,0.0877,0.932,0.000128,0.0722,0,1
0.495,0.8109999999999999,0.706,0.264,0.936,0.000204,0.21,0,1
0.965,0.8109999999999999,0.6509999999999999,0.0603,0.934,4.96e-05,0.0649,0,1
0.8740000000000001,0.59,0.0704,0.34,0.00127,0.00171,0.0299,0,7
0.7190000000000001,0.782,0.593,0.173,0.897,0.00134,0.0601,0,1
0.502,0.8109999999999999,0.754,0.1639999999999999,0.925,0.0505,0.0559,0,1
0.8240000000000001,0.809,0.359,0.0758,0.919,0.000319,0.0631,0,8
0.726,0.805,0.764,0.0938,0.0,0.172,0.317,0,5
0.285,0.6459999999999999,0.23,0.114,0.851,0.000661,0.334,0,8
0.828,0.851,0.721,0.0964,6.62e-06,0.0874,0.126,0,5
0.508,0.802,0.539,0.0948,0.000888,0.142,0.0823,0,9
0.5870000000000001,0.807,0.383,0.0875,0.932,7.9e-06,0.066,0,8
0.557,0.556,0.172,0.303,0.0182,0.452,0.0318,0,9
0.938,0.334,0.345,0.0656,0.0868,0.00434,0.146,0,7
0.532,0.81,0.524,0.0781,0.918,4.06e-06,0.0666,0,1
0.618,0.645,0.949,0.134,1.37e-06,0.525,0.0492,0,0
0.532,0.7290000000000001,0.908,0.155,0.0,0.53,0.0361,0,0
0.389,0.486,0.855,0.239,5.37e-05,0.606,0.0405,0,0
0.618,0.55,0.909,0.136,2.81e-06,0.5329999999999999,0.0329,0,0
0.52,0.524,0.868,0.0696,0.0,0.154,0.0256,0,5
0.441,0.79,0.892,0.159,0.00899,0.446,0.0365,0,0
0.809,0.5760000000000001,0.7759999999999999,0.0932,0.0,0.384,0.0937,0,5
0.124,0.6809999999999999,0.455,0.124,0.000897,0.78,0.0357,0,2
0.6659999999999999,0.51,0.884,0.221,2.8300000000000007e-05,0.231,0.0304,0,5
0.5589999999999999,0.574,0.942,0.102,0.00394,0.24,0.0401,0,5
0.472,0.457,0.643,0.136,0.0,0.6659999999999999,0.0512,0,0
0.251,0.361,0.579,0.145,0.0,0.565,0.0309,0,2
0.229,0.5329999999999999,0.306,0.116,1.43e-06,0.769,0.0293,0,2
0.648,0.701,0.895,0.0934,0.000118,0.247,0.0376,0,5
0.251,0.512,0.4,0.116,0.0,0.0911,0.0379,0,9
0.285,0.501,0.8640000000000001,0.102,0.0,0.7290000000000001,0.0323,0,0
0.512,0.746,0.8690000000000001,0.0685,0.179,0.4270000000000001,0.0352,0,0
0.458,0.8140000000000001,0.411,0.119,0.873,5.65e-05,0.115,0,8
0.58,0.79,0.841,0.4970000000000001,1.86e-06,0.315,0.134,0,3
0.626,0.878,0.516,0.108,0.000114,0.0804,0.354,0,9
0.444,0.733,0.443,0.116,6.28e-06,0.134,0.0559,0,9
0.906,0.7979999999999999,0.6829999999999999,0.337,0.032,0.000716,0.0582,0,5
0.46,0.8059999999999999,0.5820000000000001,0.312,0.89,0.000109,0.0586,0,1
0.258,0.742,0.385,0.139,0.941,0.0421,0.168,0,8
0.759,0.8009999999999999,0.384,0.148,0.831,0.00123,0.0639,0,8
0.722,0.5579999999999999,0.3,0.208,0.0,0.6829999999999999,0.0684,0,0
0.317,0.726,0.112,0.117,5.97e-05,0.0535,0.267,0,9
0.841,0.5770000000000001,0.63,0.233,0.000296,0.00752,0.0332,0,7
0.393,0.7020000000000001,0.928,0.821,0.107,0.923,0.912,0,0
0.8540000000000001,0.7040000000000001,0.731,0.231,0.7809999999999999,7.070000000000001e-05,0.0406,0,1
0.475,0.966,0.413,0.0859,1.0800000000000003e-05,0.223,0.259,0,9
0.644,0.909,0.503,0.176,0.83,0.0141,0.477,0,1
0.377,0.7490000000000001,0.518,0.341,0.865,0.00101,0.299,0,8
0.614,0.802,0.419,0.0793,0.867,2.64e-05,0.0613,0,8
0.858,0.8109999999999999,0.398,0.0864,0.943,2.56e-05,0.0506,0,8
0.741,0.8390000000000001,0.8490000000000001,0.0727,0.936,0.000373,0.0711,0,1
0.809,0.807,0.866,0.115,0.937,0.000249,0.052,0,1
0.626,0.46,0.664,0.0928,0.863,0.0465,0.0476,0,1
0.518,0.67,0.883,0.213,0.0,0.356,0.157,0,0
0.693,0.741,0.574,0.128,0.8290000000000001,0.00315,0.0377,0,1
0.384,0.8140000000000001,0.705,0.0577,0.897,2.9e-05,0.0932,0,1
0.735,0.7979999999999999,0.777,0.119,0.934,0.000347,0.0589,0,1
0.748,0.65,0.6,0.0937,0.000458,0.0171,0.0581,0,7
0.584,0.84,0.134,0.118,0.961,0.00137,0.0735,0,8
0.438,0.459,0.429,0.13,0.6890000000000001,0.541,0.0387,0,4
0.434,0.8029999999999999,0.383,0.338,0.0,0.7490000000000001,0.354,0,0
0.465,0.45,0.302,0.0788,0.0,0.499,0.0359,0,2
0.727,0.6779999999999999,0.274,0.113,0.0,0.6579999999999999,0.429,0,0
0.736,0.483,0.393,0.519,0.0,0.238,0.488,0,3
